"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 00:08:05 TRT 2024","Thu Sep 05 00:08:17 TRT 2024","12266","","com.example.test.SearchTest","","com.example.test.SearchTest","searchNotExistProduct","searchNotExistProduct()",""
"passed","Thu Sep 05 00:08:17 TRT 2024","Thu Sep 05 00:08:22 TRT 2024","5141","","com.example.test.SearchTest","","com.example.test.SearchTest","searchProductInMainPage","searchProductInMainPage()",""
